142518.710	 1034.6	 1055.9	  5.0	  3.8
142518.990	 1032.9	 1055.8	  5.0	  3.8
142519.310	 1031.5	 1049.9	  5.0	  3.8
142519.590	 1030.0	 1049.8	  5.0	  3.8
142519.910	 1028.6	 1049.7	  5.0	  3.8
142520.190	 1027.2	 1049.6	  5.0	  3.8
142520.590	 1025.6	 1043.7	  5.0	  3.8
142520.790	 1024.1	 1043.6	  5.0	  3.8
142521.110	 1022.6	 1043.4	  5.0	  3.8
142521.390	 1021.1	 1043.3	  5.0	  3.8
142521.750	 1019.7	 1037.5	  5.0	  3.8
142521.990	 1018.1	 1037.3	  5.0	  3.8
142522.310	 1016.6	 1037.2	  5.0	  3.8
142522.590	 1015.1	 1037.1	  5.0	  3.8
142522.910	 1013.6	 1037.0	  5.0	  3.8
142523.190	 1012.0	 1031.1	  5.0	  3.8
142523.510	 1010.5	 1031.0	  5.0	  3.8
142523.790	 1009.0	 1030.8	  5.0	  3.8
